,PCA_n_components,n_frequency_cutoff,n_unique_threshold,r2_avg_train_folds,r2_std_train_folds,r2_avg_test_fold,r2_std_test_folds,avg_mae
0,0.05,0.5,6,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
1,0.05,0.5,7,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
2,0.05,0.5,8,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
3,0.05,0.5,9,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
4,0.05,0.5,10,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
5,0.05,0.5,11,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
6,0.05,0.5,12,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
7,0.05,0.5,13,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
8,0.05,0.5,14,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
9,0.05,0.5,15,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
10,0.05,0.5,16,0.7433609987514908,0.0025206817443611446,0.7374657975364304,0.011266785086788963,-28432.280189792375
11,0.05,0.5,17,0.746094195338363,0.003001168026815815,0.7335968056395419,0.012328915273090898,-28535.39626414618
12,0.05,0.5,18,0.746094195338363,0.003001168026815815,0.7335968056395419,0.012328915273090898,-28535.39626414618
13,0.05,0.5,19,0.746094195338363,0.003001168026815815,0.7335968056395419,0.012328915273090898,-28535.39626414618
14,0.05,0.55,6,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
15,0.05,0.55,7,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
16,0.05,0.55,8,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
17,0.05,0.55,9,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
18,0.05,0.55,10,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
19,0.05,0.55,11,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
20,0.05,0.55,12,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
21,0.05,0.55,13,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
22,0.05,0.55,14,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
23,0.05,0.55,15,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
24,0.05,0.55,16,0.7472378641331607,0.002830049067198783,0.7394825156552465,0.012552395524836312,-28263.45155024637
25,0.05,0.55,17,0.7500441117451995,0.0033622124234247157,0.7354421837443373,0.013795748851764931,-28399.14616582506
26,0.05,0.55,18,0.7500441117451995,0.0033622124234247157,0.7354421837443373,0.013795748851764931,-28399.14616582506
27,0.05,0.55,19,0.7500441117451995,0.0033622124234247157,0.7354421837443373,0.013795748851764931,-28399.14616582506
28,0.05,0.6000000000000001,6,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
29,0.05,0.6000000000000001,7,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
30,0.05,0.6000000000000001,8,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
31,0.05,0.6000000000000001,9,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
32,0.05,0.6000000000000001,10,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
33,0.05,0.6000000000000001,11,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
34,0.05,0.6000000000000001,12,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
35,0.05,0.6000000000000001,13,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
36,0.05,0.6000000000000001,14,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
37,0.05,0.6000000000000001,15,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
38,0.05,0.6000000000000001,16,0.7472378641331607,0.002830049067198783,0.7394825156552465,0.012552395524836312,-28263.45155024637
39,0.05,0.6000000000000001,17,0.7500441117451995,0.0033622124234247157,0.7354421837443373,0.013795748851764931,-28399.14616582506
40,0.05,0.6000000000000001,18,0.7500441117451995,0.0033622124234247157,0.7354421837443373,0.013795748851764931,-28399.14616582506
41,0.05,0.6000000000000001,19,0.7500441117451995,0.0033622124234247157,0.7354421837443373,0.013795748851764931,-28399.14616582506
42,0.05,0.6500000000000001,6,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
43,0.05,0.6500000000000001,7,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
44,0.05,0.6500000000000001,8,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
45,0.05,0.6500000000000001,9,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
46,0.05,0.6500000000000001,10,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
47,0.05,0.6500000000000001,11,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
48,0.05,0.6500000000000001,12,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
49,0.05,0.6500000000000001,13,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
50,0.05,0.6500000000000001,14,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
51,0.05,0.6500000000000001,15,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
52,0.05,0.6500000000000001,16,0.7472378641331607,0.002830049067198783,0.7394825156552465,0.012552395524836312,-28263.45155024637
53,0.05,0.6500000000000001,17,0.7500441117451995,0.0033622124234247157,0.7354421837443373,0.013795748851764931,-28399.14616582506
54,0.05,0.6500000000000001,18,0.7500441117451995,0.0033622124234247157,0.7354421837443373,0.013795748851764931,-28399.14616582506
55,0.05,0.6500000000000001,19,0.7500441117451995,0.0033622124234247157,0.7354421837443373,0.013795748851764931,-28399.14616582506
56,0.05,0.7000000000000002,6,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
57,0.05,0.7000000000000002,7,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
58,0.05,0.7000000000000002,8,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
59,0.05,0.7000000000000002,9,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
60,0.05,0.7000000000000002,10,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
61,0.05,0.7000000000000002,11,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
62,0.05,0.7000000000000002,12,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
63,0.05,0.7000000000000002,13,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
64,0.05,0.7000000000000002,14,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
65,0.05,0.7000000000000002,15,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
66,0.05,0.7000000000000002,16,0.7472378641331607,0.002830049067198783,0.7394825156552465,0.012552395524836312,-28263.45155024637
67,0.05,0.7000000000000002,17,0.7500441117451995,0.0033622124234247157,0.7354421837443373,0.013795748851764931,-28399.14616582506
68,0.05,0.7000000000000002,18,0.7500441117451995,0.0033622124234247157,0.7354421837443373,0.013795748851764931,-28399.14616582506
69,0.05,0.7000000000000002,19,0.7500441117451995,0.0033622124234247157,0.7354421837443373,0.013795748851764931,-28399.14616582506
70,0.05,0.7500000000000002,6,0.7261622958090731,0.002014755747453758,0.723613293333616,0.0077398655107894666,-29126.924224149843
71,0.05,0.7500000000000002,7,0.7261622958090731,0.002014755747453758,0.723613293333616,0.0077398655107894666,-29126.924224149843
72,0.05,0.7500000000000002,8,0.7317443324359998,0.002384979747949975,0.7273381004158708,0.009349032362749447,-28872.758038997814
73,0.05,0.7500000000000002,9,0.7317443324359998,0.002384979747949975,0.7273381004158708,0.009349032362749447,-28872.758038997814
74,0.05,0.7500000000000002,10,0.7317443324359998,0.002384979747949975,0.7273381004158708,0.009349032362749447,-28872.758038997814
75,0.05,0.7500000000000002,11,0.7317443324359998,0.002384979747949975,0.7273381004158708,0.009349032362749447,-28872.758038997814
76,0.05,0.7500000000000002,12,0.7317443324359998,0.002384979747949975,0.7273381004158708,0.009349032362749447,-28872.758038997814
77,0.05,0.7500000000000002,13,0.7317443324359998,0.002384979747949975,0.7273381004158708,0.009349032362749447,-28872.758038997814
78,0.05,0.7500000000000002,14,0.7317443324359998,0.002384979747949975,0.7273381004158708,0.009349032362749447,-28872.758038997814
79,0.05,0.7500000000000002,15,0.7317443324359998,0.002384979747949975,0.7273381004158708,0.009349032362749447,-28872.758038997814
80,0.05,0.7500000000000002,16,0.750054112017767,0.002962878524493344,0.7416549600792691,0.013161222164695886,-28195.46458531726
81,0.05,0.7500000000000002,17,0.7528529121096574,0.00342559890229731,0.7377553985511176,0.014557823877951724,-28350.54854349718
82,0.05,0.7500000000000002,18,0.7528529121096574,0.00342559890229731,0.7377553985511176,0.014557823877951724,-28350.54854349718
83,0.05,0.7500000000000002,19,0.7528529121096574,0.00342559890229731,0.7377553985511176,0.014557823877951724,-28350.54854349718
84,0.05,0.8000000000000003,6,0.7427045041877552,0.0026906551977487364,0.7380000022774933,0.011517188038436096,-28599.09558178864
85,0.05,0.8000000000000003,7,0.743967632471967,0.0026501310495404386,0.7364274452054078,0.010408075106261289,-28659.308187845145
86,0.05,0.8000000000000003,8,0.748165594655663,0.002921091259385178,0.7380148631475938,0.011944193225390887,-28460.81486544241
87,0.05,0.8000000000000003,9,0.748165594655663,0.002921091259385178,0.7380148631475938,0.011944193225390887,-28460.81486544241
88,0.05,0.8000000000000003,10,0.748165594655663,0.002921091259385178,0.7380148631475938,0.011944193225390887,-28460.81486544241
89,0.05,0.8000000000000003,11,0.748165594655663,0.002921091259385178,0.7380148631475938,0.011944193225390887,-28460.81486544241
90,0.05,0.8000000000000003,12,0.748165594655663,0.002921091259385178,0.7380148631475938,0.011944193225390887,-28460.81486544241
91,0.05,0.8000000000000003,13,0.748165594655663,0.002921091259385178,0.7380148631475938,0.011944193225390887,-28460.81486544241
92,0.05,0.8000000000000003,14,0.748165594655663,0.002921091259385178,0.7380148631475938,0.011944193225390887,-28460.81486544241
93,0.05,0.8000000000000003,15,0.748165594655663,0.002921091259385178,0.7380148631475938,0.011944193225390887,-28460.81486544241
94,0.05,0.8000000000000003,16,0.7628355473551397,0.0034381818912136,0.749563358605357,0.015530632491993856,-27872.49013938561
95,0.05,0.8000000000000003,17,0.7637797005956677,0.005500993307525845,-1.0440937455945958e+22,2.0735463887921903e+22,-233137877624066.2
96,0.05,0.8000000000000003,18,0.7637797005956677,0.005500993307525845,-1.0440937455945958e+22,2.0735463887921903e+22,-233137877624066.2
97,0.05,0.8000000000000003,19,0.7637797005956677,0.005500993307525845,-1.0440937455945958e+22,2.0735463887921903e+22,-233137877624066.2
98,0.05,0.8500000000000003,6,0.7483708654385605,0.0029090178904279404,0.7435429593183844,0.012533036644230616,-28004.522680493934
99,0.05,0.8500000000000003,7,0.7491749372989777,0.0028715596674801958,0.741563972486323,0.011456812940415844,-28115.5358697481
100,0.05,0.8500000000000003,8,0.7529290850702826,0.0030927487300749464,0.7427556156789171,0.01285722192571345,-28024.15513731617
101,0.05,0.8500000000000003,9,0.7529290850702826,0.0030927487300749464,0.7427556156789171,0.01285722192571345,-28024.15513731617
102,0.05,0.8500000000000003,10,0.7529290850702826,0.0030927487300749464,0.7427556156789171,0.01285722192571345,-28024.15513731617
103,0.05,0.8500000000000003,11,0.7529290850702826,0.0030927487300749464,0.7427556156789171,0.01285722192571345,-28024.15513731617
104,0.05,0.8500000000000003,12,0.7529290850702826,0.0030927487300749464,0.7427556156789171,0.01285722192571345,-28024.15513731617
105,0.05,0.8500000000000003,13,0.7529290850702826,0.0030927487300749464,0.7427556156789171,0.01285722192571345,-28024.15513731617
106,0.05,0.8500000000000003,14,0.7529290850702826,0.0030927487300749464,0.7427556156789171,0.01285722192571345,-28024.15513731617
107,0.05,0.8500000000000003,15,0.7529290850702826,0.0030927487300749464,0.7427556156789171,0.01285722192571345,-28024.15513731617
108,0.05,0.8500000000000003,16,0.7696226431986849,0.003772751725674597,0.7565015214410112,0.01682102568424324,-27253.737474052374
109,0.05,0.8500000000000003,17,0.7490111599068094,0.02311631702598663,-3.3682562895229233e+22,4.649474623427168e+22,-521424285059492.1
110,0.05,0.8500000000000003,18,0.7490111599068094,0.02311631702598663,-3.3682562895229233e+22,4.649474623427168e+22,-521424285059492.1
111,0.05,0.8500000000000003,19,0.7490111599068094,0.02311631702598663,-3.3682562895229233e+22,4.649474623427168e+22,-521424285059492.1
112,0.05,0.9000000000000004,6,0.7559053127000818,0.0037402636439618697,0.7503253493670101,0.015143244337088645,-27678.244459898822
113,0.05,0.9000000000000004,7,0.7603806649297744,0.0038686442252061134,0.7516554540716636,0.015313556465243553,-27667.661838695687
114,0.05,0.9000000000000004,8,0.7640476765024242,0.004187586695182425,0.752480867709034,0.017174157762711514,-27637.42826688641
115,0.05,0.9000000000000004,9,0.7675421980042318,0.004251151630001533,0.7545875430816193,0.017063492898242834,-27473.63811549462
116,0.05,0.9000000000000004,10,0.7675421980042318,0.004251151630001533,0.7545875430816193,0.017063492898242834,-27473.63811549462
117,0.05,0.9000000000000004,11,0.7675421980042318,0.004251151630001533,0.7545875430816193,0.017063492898242834,-27473.63811549462
118,0.05,0.9000000000000004,12,0.7675421980042318,0.004251151630001533,0.7545875430816193,0.017063492898242834,-27473.63811549462
119,0.05,0.9000000000000004,13,0.7675421980042318,0.004251151630001533,0.7545875430816193,0.017063492898242834,-27473.63811549462
120,0.05,0.9000000000000004,14,0.7675421980042318,0.004251151630001533,0.7545875430816193,0.017063492898242834,-27473.63811549462
121,0.05,0.9000000000000004,15,0.7675421980042318,0.004251151630001533,0.7545875430816193,0.017063492898242834,-27473.63811549462
122,0.05,0.9000000000000004,16,0.7771440921380289,0.006338237767594917,-6.461428231586217e+21,1.2836525612061749e+22,-185226591514903.75
123,0.05,0.9000000000000004,17,0.7808828416545419,0.0030299463387775992,-2.389094821536028e+20,2.9856165348241015e+20,-52495894421416.03
124,0.05,0.9000000000000004,18,0.7808828416545419,0.0030299463387775992,-2.389094821536028e+20,2.9856165348241015e+20,-52495894421416.03
125,0.05,0.9000000000000004,19,0.7808828416545419,0.0030299463387775992,-2.389094821536028e+20,2.9856165348241015e+20,-52495894421416.03
126,0.05,0.9500000000000004,6,0.7559053127000818,0.0037402636439618697,0.7503253493670101,0.015143244337088645,-27678.244459898822
127,0.05,0.9500000000000004,7,0.7603806649297744,0.0038686442252061134,0.7516554540716636,0.015313556465243553,-27667.661838695687
128,0.05,0.9500000000000004,8,0.7640476765024242,0.004187586695182425,0.752480867709034,0.017174157762711514,-27637.42826688641
129,0.05,0.9500000000000004,9,0.7675421980042318,0.004251151630001533,0.7545875430816193,0.017063492898242834,-27473.63811549462
130,0.05,0.9500000000000004,10,0.7675421980042318,0.004251151630001533,0.7545875430816193,0.017063492898242834,-27473.63811549462
131,0.05,0.9500000000000004,11,0.7675421980042318,0.004251151630001533,0.7545875430816193,0.017063492898242834,-27473.63811549462
132,0.05,0.9500000000000004,12,0.7675421980042318,0.004251151630001533,0.7545875430816193,0.017063492898242834,-27473.63811549462
133,0.05,0.9500000000000004,13,0.7675421980042318,0.004251151630001533,0.7545875430816193,0.017063492898242834,-27473.63811549462
134,0.05,0.9500000000000004,14,0.7675421980042318,0.004251151630001533,0.7545875430816193,0.017063492898242834,-27473.63811549462
135,0.05,0.9500000000000004,15,0.7675421980042318,0.004251151630001533,0.7545875430816193,0.017063492898242834,-27473.63811549462
136,0.05,0.9500000000000004,16,0.7771440921380289,0.006338237767594917,-6.461428231586217e+21,1.2836525612061749e+22,-185226591514903.75
137,0.05,0.9500000000000004,17,0.7808828416545419,0.0030299463387775992,-2.389094821536028e+20,2.9856165348241015e+20,-52495894421416.03
138,0.05,0.9500000000000004,18,0.7808828416545419,0.0030299463387775992,-2.389094821536028e+20,2.9856165348241015e+20,-52495894421416.03
139,0.05,0.9500000000000004,19,0.7808828416545419,0.0030299463387775992,-2.389094821536028e+20,2.9856165348241015e+20,-52495894421416.03
140,0.1,0.5,6,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
141,0.1,0.5,7,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
142,0.1,0.5,8,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
143,0.1,0.5,9,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
144,0.1,0.5,10,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
145,0.1,0.5,11,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
146,0.1,0.5,12,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
147,0.1,0.5,13,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
148,0.1,0.5,14,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
149,0.1,0.5,15,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
150,0.1,0.5,16,0.7433609987514908,0.0025206817443611446,0.7374657975364304,0.011266785086788963,-28432.280189792375
151,0.1,0.5,17,0.746094195338363,0.003001168026815815,0.7335968056395419,0.012328915273090898,-28535.39626414618
152,0.1,0.5,18,0.746094195338363,0.003001168026815815,0.7335968056395419,0.012328915273090898,-28535.39626414618
153,0.1,0.5,19,0.746094195338363,0.003001168026815815,0.7335968056395419,0.012328915273090898,-28535.39626414618
154,0.1,0.55,6,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
155,0.1,0.55,7,0.7232141729014994,0.0019296489000646098,0.7213414315426613,0.007395513467863971,-29208.55512845448
156,0.1,0.55,8,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
157,0.1,0.55,9,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
158,0.1,0.55,10,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
159,0.1,0.55,11,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
160,0.1,0.55,12,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
161,0.1,0.55,13,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
162,0.1,0.55,14,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
163,0.1,0.55,15,0.7288160973115045,0.0022587767761479225,0.7251319842162172,0.008776548310502537,-28938.453138653083
164,0.1,0.55,16,0.7472378641331607,0.002830049067198783,0.7394825156552465,0.012552395524836312,-28263.45155024637
165,0.1,0.55,17,0.7500441117451995,0.0033622124234247157,0.7354421837443373,0.013795748851764931,-28399.14616582506
166,0.1,0.55,18,0.7500441117451995,0.0033622124234247157,0.7354421837443373,0.013795748851764931,-28399.14616582506
